source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,player_source_id,minutes_played,touches,progressive_carries,progressive_passes,progressive_actions_per90,pass_completion_pct,dribble_success_pct,touch_quality,pressure_actions_per90,sprints_per90,tackles_won_per90,interceptions_per90,ball_recoveries_per90,xg,xa,xg_xa_per90,shot_creation_actions,final_third_entries,aerial_duel_win_pct,pressure_regains
statsbomb,1,43,2,2018,71,16,770,5574,93.96666666666667,220,2,37,37.35367151472153,92.7710843373494,0.0,0.0,17.24015608371763,4.7889322454771195,0.0,0.9577864490954239,8.620078041858815,0.2702364485,0.0,0.2588288084249734,43,16,0.0,1
statsbomb,1,43,2,2018,71,16,770,5578,91.98333333333333,220,20,54,72.40442109077732,85.18518518518519,0.0,0.0,16.633448088421815,15.655009965573473,1.9568762456966842,0.9784381228483421,4.89219061424171,0.0076826327,0.0,0.00751698071752129,39,32,0.0,5
statsbomb,1,43,2,2018,71,16,770,5579,92.98333333333333,243,7,23,29.03746191073669,79.7752808988764,0.0,0.0,17.422477146442013,4.839576985122782,0.0,0.0,5.807492382147338,0.142575486,0.0,0.13800100813765906,52,13,0.0,4
statsbomb,1,43,2,2018,71,11,794,,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
statsbomb,1,43,2,2018,71,11,794,3058,90.98333333333333,75,1,4,4.945960798681077,76.92307692307693,33.33333333333333,0.04,12.859498076570802,0.9891921597362154,0.0,0.0,0.0,0.043891508,0.0,0.04341713559259938,9,3,0.0,1
statsbomb,1,43,2,2018,71,11,794,5556,91.98333333333333,73,3,9,11.741257474180106,75.0,50.0,0.0273972602739726,26.417829316905237,2.9353143685450265,0.9784381228483421,3.9137524913933683,0.9784381228483421,0.301605539,0.0,0.2951023574198224,14,8,0.0,1
statsbomb,1,43,2,2018,71,11,794,5558,19.966666666666665,15,0,3,13.522537562604342,83.33333333333334,100.0,0.0,94.65776293823039,0.0,0.0,4.507512520868114,4.507512520868114,0.0,0.0,0.0,1,1,0.0,2
statsbomb,1,43,2,2018,71,11,794,5560,57.96666666666667,86,4,3,10.868315123634272,79.16666666666666,50.0,0.03488372093023256,38.815411155836685,6.21046578493387,0.0,0.0,9.315698677400805,0.13477883,0.0,0.20925982806210464,18,4,0.0,1
statsbomb,1,43,2,2018,71,11,794,5561,85.96666666666667,44,2,7,9.422256688639006,83.33333333333334,0.0,0.0,10.469174098487786,1.0469174098487786,0.0,1.0469174098487786,2.093834819697557,0.0,0.0,0.0,0,0,0.0,3
statsbomb,1,43,2,2018,71,11,794,5563,72.96666666666667,76,1,6,8.634079488350846,85.18518518518519,100.0,0.0,45.63727729556875,0.0,0.0,0.0,0.0,0.074448265,0.0,0.09182746253997259,6,2,0.0,5
